,num_passengers,purchase_to_travel,length_of_stay,flight_hour,flight_duration,clusters,cluster
0,1,191,2,16,4.75,2,dark purple
1,1,27,6,2,6.62,0,pink
2,1,55,29,16,5.52,0,pink
3,1,30,18,18,8.58,0,pink
4,1,30,42,20,8.58,0,pink
5,2,233,17,23,5.62,1,purple
6,2,82,53,20,8.58,0,pink
7,2,52,5,22,8.58,0,pink
8,1,21,12,6,7.21,0,pink
9,1,107,23,12,8.83,2,dark purple
10,1,300,63,2,8.83,1,purple
11,1,11,32,12,8.83,0,pink
12,2,43,17,12,8.83,0,pink
13,1,55,21,21,8.83,0,pink
14,1,198,43,10,8.83,2,dark purple
15,1,170,23,22,8.83,2,dark purple
16,2,321,32,7,8.83,1,purple
17,1,77,22,21,8.83,0,pink
18,1,45,51,9,8.83,0,pink
19,1,101,28,0,8.83,2,dark purple
20,1,26,29,9,8.83,0,pink
21,1,10,19,14,8.83,0,pink
22,3,126,31,22,8.83,2,dark purple
23,2,205,27,11,8.83,2,dark purple
24,1,42,17,13,8.83,0,pink
25,1,16,22,1,8.83,0,pink
26,2,12,20,1,8.83,0,pink
27,1,72,37,17,8.58,0,pink
28,2,118,17,13,8.58,2,dark purple
29,1,16,19,10,8.58,0,pink
30,2,118,17,13,8.58,2,dark purple
31,1,135,46,8,8.58,2,dark purple
32,1,22,47,2,8.58,0,pink
33,1,152,35,9,8.58,2,dark purple
34,1,31,23,0,8.58,0,pink
35,2,150,44,6,8.58,2,dark purple
36,1,4,87,4,8.58,0,pink
37,1,92,22,23,8.83,2,dark purple
38,1,51,90,1,8.83,0,pink
39,1,12,27,22,8.83,0,pink
40,2,32,18,6,8.83,0,pink
41,1,53,91,5,8.83,0,pink
42,2,311,20,7,8.83,1,purple
43,1,7,23,10,8.83,0,pink
44,2,359,18,13,8.83,1,purple
45,1,89,31,10,8.83,2,dark purple
46,3,103,29,9,8.83,2,dark purple
47,1,59,28,6,8.83,0,pink
48,1,18,91,0,8.83,0,pink
49,1,0,18,1,8.83,0,pink
50,1,61,25,5,8.83,0,pink
51,3,37,27,13,8.83,0,pink
52,1,7,228,1,8.83,0,pink
53,1,4,17,0,5.62,0,pink
54,1,27,91,11,5.62,0,pink
55,1,26,25,10,5.62,0,pink
56,1,16,32,6,5.62,0,pink
57,1,102,20,11,5.62,2,dark purple
58,1,37,140,0,8.58,0,pink
59,1,2,69,3,8.58,0,pink
60,1,124,81,16,8.58,2,dark purple
61,1,41,18,9,8.58,0,pink
62,2,98,20,7,8.58,2,dark purple
63,1,261,22,7,8.58,1,purple
64,1,119,30,10,8.58,2,dark purple
65,1,124,21,19,8.58,2,dark purple
66,1,15,55,7,8.58,0,pink
67,2,4,160,9,8.58,0,pink
68,1,32,41,3,8.58,0,pink
69,1,153,23,13,8.58,2,dark purple
70,1,41,89,1,8.58,0,pink
71,1,38,140,23,8.58,0,pink
72,1,7,81,5,6.62,0,pink
73,1,12,39,6,8.83,0,pink
74,1,27,17,14,8.83,0,pink
75,2,141,81,13,8.83,2,dark purple
76,1,40,86,13,8.83,0,pink
77,1,12,22,23,8.83,0,pink
78,1,2,19,3,8.83,0,pink
79,1,50,41,11,8.83,0,pink
80,1,16,23,22,8.83,0,pink
81,2,5,91,9,8.83,0,pink
82,1,39,40,23,8.83,0,pink
83,1,228,36,6,8.83,1,purple
84,1,88,27,23,8.83,2,dark purple
85,1,12,36,1,8.83,0,pink
86,1,254,20,14,8.83,1,purple
87,1,102,32,9,8.83,2,dark purple
88,1,113,30,8,8.83,2,dark purple
89,1,60,33,2,8.83,0,pink
90,2,351,57,10,8.83,1,purple
91,1,65,41,13,8.83,0,pink
92,2,95,34,0,8.83,2,dark purple
93,1,34,88,5,8.83,0,pink
94,1,4,28,14,8.83,0,pink
95,1,20,43,9,8.83,0,pink
96,1,6,18,14,8.83,0,pink
97,1,44,20,23,8.83,0,pink
98,1,171,61,11,8.83,2,dark purple
99,2,3,44,13,8.83,0,pink
100,6,271,25,3,8.83,1,purple
101,2,171,17,12,8.83,2,dark purple
102,1,44,20,7,8.83,0,pink
103,1,27,24,8,8.83,0,pink
104,1,289,26,21,8.83,1,purple
105,1,13,23,5,8.83,0,pink
106,1,55,43,7,8.83,0,pink
107,1,58,18,13,8.83,0,pink
108,1,24,22,0,8.83,0,pink
109,1,87,22,13,8.83,2,dark purple
110,1,45,34,6,8.83,0,pink
111,3,16,23,9,8.83,0,pink
112,1,46,88,12,8.83,0,pink
113,1,335,27,10,8.83,1,purple
114,1,32,119,2,8.83,0,pink
115,1,42,49,7,8.83,0,pink
116,1,22,19,2,8.83,0,pink
117,1,13,21,5,8.83,0,pink
118,1,54,19,13,8.83,0,pink
119,2,297,25,6,8.83,1,purple
120,2,12,18,10,8.83,0,pink
121,1,41,90,6,8.83,0,pink
122,1,33,23,6,8.83,0,pink
123,1,124,17,20,8.83,2,dark purple
124,4,101,18,6,8.83,2,dark purple
125,1,49,33,3,8.83,0,pink
126,1,27,86,3,8.83,0,pink
127,2,73,20,13,8.83,0,pink
128,2,102,29,3,8.83,2,dark purple
129,1,66,25,10,8.83,0,pink
130,1,188,89,23,8.83,2,dark purple
131,1,19,34,7,8.83,0,pink
132,1,137,40,23,8.83,2,dark purple
133,1,45,22,14,8.83,0,pink
134,1,25,87,13,8.83,0,pink
135,1,2,22,17,5.62,0,pink
136,2,52,18,13,5.62,0,pink
137,1,21,20,8,5.62,0,pink
138,1,8,1,12,5.62,0,pink
139,1,9,26,7,5.62,0,pink
140,1,46,23,13,5.62,0,pink
141,1,3,24,8,5.62,0,pink
142,2,40,19,12,5.62,0,pink
143,1,4,17,15,5.62,0,pink
144,1,8,1,14,5.62,0,pink
145,1,116,26,3,5.62,2,dark purple
146,1,7,34,13,5.62,0,pink
147,1,14,20,1,5.62,0,pink
148,5,53,24,11,5.62,0,pink
149,2,65,23,4,5.62,0,pink
150,1,154,17,11,5.62,2,dark purple
151,1,39,1,10,5.62,0,pink
152,1,54,24,7,5.62,0,pink
153,1,130,34,0,5.62,2,dark purple
154,1,97,18,9,5.62,2,dark purple
155,1,24,93,6,5.62,0,pink
156,1,42,26,6,5.62,0,pink
157,1,24,28,9,8.58,0,pink
158,2,237,77,9,8.58,1,purple
159,1,168,89,13,8.58,2,dark purple
160,1,32,29,8,8.58,0,pink
161,1,87,22,13,8.58,2,dark purple
162,2,157,90,7,8.58,2,dark purple
163,1,98,36,13,8.58,2,dark purple
164,1,200,87,12,8.58,2,dark purple
165,1,218,18,6,8.58,1,purple
166,2,5,88,21,8.58,0,pink
167,1,193,31,0,8.58,2,dark purple
168,1,149,18,7,8.58,2,dark purple
169,1,54,21,13,8.58,0,pink
170,1,2,1,2,8.58,0,pink
171,1,47,27,5,8.58,0,pink
172,1,54,21,13,8.58,0,pink
173,1,80,27,12,8.58,0,pink
174,2,403,22,11,8.58,1,purple
175,3,412,21,11,8.58,1,purple
176,1,10,23,12,8.58,0,pink
177,1,77,21,13,8.58,0,pink
178,1,2,86,1,8.58,0,pink
179,2,28,31,22,8.58,0,pink
180,1,11,35,14,8.58,0,pink
181,2,323,49,2,8.58,1,purple
182,1,13,29,5,8.58,0,pink
183,1,11,30,10,8.58,0,pink
184,1,40,27,12,8.83,0,pink
185,3,30,178,14,8.83,0,pink
186,1,99,22,5,8.83,2,dark purple
187,1,14,40,5,8.83,0,pink
188,1,32,64,1,8.83,0,pink
189,2,55,64,1,8.83,0,pink
190,4,59,36,12,8.83,0,pink
191,1,27,97,3,8.83,0,pink
192,2,45,81,8,8.83,0,pink
193,4,40,29,13,8.83,0,pink
194,1,175,18,23,8.83,2,dark purple
195,1,59,22,2,8.83,0,pink
196,1,12,123,10,8.83,0,pink
197,1,21,59,23,8.83,0,pink
198,2,99,144,13,8.83,2,dark purple
199,1,33,32,3,8.83,0,pink
200,1,133,33,23,8.83,2,dark purple
201,1,215,25,8,8.83,1,purple
202,2,176,48,8,8.83,2,dark purple
203,2,29,25,14,8.83,0,pink
204,4,254,33,11,8.83,1,purple
205,1,179,19,11,8.83,2,dark purple
206,1,13,28,11,8.83,0,pink
207,1,97,33,11,8.83,2,dark purple
208,2,124,31,9,8.83,2,dark purple
209,1,25,27,23,8.83,0,pink
210,1,66,69,13,8.83,0,pink
211,1,27,113,4,8.83,0,pink
212,1,86,88,13,8.83,2,dark purple
213,1,81,148,8,8.83,0,pink
214,2,48,209,10,8.83,0,pink
215,2,218,22,14,8.83,1,purple
216,2,48,209,10,8.83,0,pink
217,1,87,25,9,8.83,2,dark purple
218,1,15,34,7,8.83,0,pink
219,2,59,38,5,8.83,0,pink
220,2,199,26,4,8.83,2,dark purple
221,2,7,23,12,8.83,0,pink
222,1,42,21,4,5.62,0,pink
223,1,93,69,5,5.62,2,dark purple
224,2,87,23,12,5.62,2,dark purple
225,2,25,178,14,5.62,0,pink
226,1,30,36,21,5.62,0,pink
227,1,83,52,10,5.62,0,pink
228,1,36,141,9,5.62,0,pink
229,3,0,22,16,5.62,0,pink
230,2,25,66,1,5.62,0,pink
231,2,185,62,8,5.62,2,dark purple
232,1,49,79,12,5.62,0,pink
233,1,220,27,8,5.62,1,purple
234,2,58,22,3,5.62,0,pink
235,1,18,29,14,5.62,0,pink
236,2,71,22,10,5.62,0,pink
237,2,270,39,11,5.62,1,purple
238,2,50,68,12,5.62,0,pink
239,3,108,26,14,5.62,2,dark purple
240,3,20,31,4,5.62,0,pink
241,3,285,22,13,5.62,1,purple
242,2,28,88,4,5.62,0,pink
243,1,15,22,12,5.62,0,pink
244,2,6,43,14,5.62,0,pink
245,3,27,60,8,5.62,0,pink
246,1,1,22,22,5.62,0,pink
247,1,160,41,16,5.62,2,dark purple
248,1,133,27,13,5.62,2,dark purple
249,2,131,61,10,5.62,2,dark purple
250,2,217,29,11,5.62,1,purple
251,1,63,29,3,5.62,0,pink
252,1,55,27,9,5.62,0,pink
253,1,42,46,4,5.62,0,pink
254,3,122,38,12,5.62,2,dark purple
255,2,205,29,14,5.62,2,dark purple
256,1,60,27,2,5.62,0,pink
257,1,127,18,2,5.62,2,dark purple
258,2,135,22,13,5.62,2,dark purple
259,1,58,83,3,5.62,0,pink
260,1,96,31,16,5.62,2,dark purple
261,1,82,29,13,5.62,0,pink
262,1,74,50,3,5.62,0,pink
263,1,15,30,5,5.62,0,pink
264,1,1,20,14,5.62,0,pink
265,1,45,36,16,5.62,0,pink
266,1,59,129,12,5.62,0,pink
267,1,69,17,9,5.62,0,pink
268,1,36,29,11,5.62,0,pink
269,1,11,54,6,8.58,0,pink
270,1,2,28,10,8.58,0,pink
271,1,5,24,0,8.58,0,pink
272,2,213,30,9,8.58,2,dark purple
273,1,160,19,2,8.58,2,dark purple
274,1,85,59,0,8.58,2,dark purple
275,1,22,40,10,8.58,0,pink
276,1,15,28,7,8.58,0,pink
277,1,68,54,10,8.58,0,pink
278,1,14,301,5,8.58,0,pink
279,1,13,42,13,8.58,0,pink
280,1,106,23,4,8.58,2,dark purple
281,2,109,33,10,8.58,2,dark purple
282,2,49,105,10,8.58,0,pink
283,1,95,30,6,8.58,2,dark purple
284,1,180,28,4,8.58,2,dark purple
285,1,157,31,16,8.58,2,dark purple
286,1,190,17,14,8.58,2,dark purple
287,1,249,42,3,8.58,1,purple
288,2,17,17,15,8.58,0,pink
289,2,27,85,11,8.58,0,pink
290,1,57,28,2,8.58,0,pink
291,2,36,332,11,8.58,0,pink
292,1,8,49,2,8.58,0,pink
293,1,159,30,10,8.58,2,dark purple
294,1,126,45,23,8.58,2,dark purple
295,1,22,21,9,8.58,0,pink
296,1,237,33,7,8.58,1,purple
297,1,146,42,12,8.58,2,dark purple
298,1,86,33,0,8.58,2,dark purple
299,1,87,66,1,8.58,2,dark purple
300,1,163,23,8,8.58,2,dark purple
301,1,70,19,12,8.58,0,pink
302,1,217,26,12,8.58,1,purple
303,1,82,35,2,8.58,0,pink
304,1,12,20,8,8.58,0,pink
305,1,53,72,9,8.58,0,pink
306,1,59,31,8,8.58,0,pink
307,5,232,21,0,8.58,1,purple
308,1,74,31,23,8.58,0,pink
309,1,44,51,11,8.58,0,pink
310,2,192,72,7,8.58,2,dark purple
311,1,1,21,7,8.58,0,pink
312,1,58,21,3,8.58,0,pink
313,1,26,24,5,8.58,0,pink
314,2,23,60,12,8.58,0,pink
315,2,70,60,10,8.58,0,pink
316,1,46,31,11,8.58,0,pink
317,3,235,56,1,8.58,1,purple
318,1,75,31,6,8.58,0,pink
319,1,7,70,9,8.58,0,pink
320,1,27,19,17,8.58,0,pink
321,1,25,42,5,8.83,0,pink
322,1,152,28,11,8.83,2,dark purple
323,1,54,18,12,8.83,0,pink
324,2,33,34,14,8.83,0,pink
325,1,183,31,11,8.83,2,dark purple
326,1,6,29,2,8.83,0,pink
327,1,72,19,2,8.83,0,pink
328,1,170,20,1,5.62,2,dark purple
329,1,121,24,15,5.62,2,dark purple
330,3,17,31,15,5.62,0,pink
331,2,119,29,15,5.62,2,dark purple
332,3,133,35,5,5.62,2,dark purple
333,2,13,33,11,5.62,0,pink
334,2,67,49,23,8.58,0,pink
335,1,67,20,12,8.58,0,pink
336,1,23,47,11,8.58,0,pink
337,1,4,17,9,8.58,0,pink
338,2,15,162,19,8.58,0,pink
339,1,7,122,12,8.58,0,pink
340,1,6,88,11,8.58,0,pink
341,1,23,358,7,8.58,0,pink
342,3,120,31,9,8.58,2,dark purple
343,3,158,18,6,8.58,2,dark purple
344,1,162,32,11,8.58,2,dark purple
345,1,38,24,14,5.62,0,pink
346,1,171,135,5,5.62,2,dark purple
347,1,23,30,15,5.62,0,pink
348,2,200,35,12,5.62,2,dark purple
349,2,179,31,4,5.62,2,dark purple
350,1,389,18,1,5.62,1,purple
351,2,86,19,13,5.62,2,dark purple
352,1,240,20,10,8.83,1,purple
353,1,47,51,9,8.83,0,pink
354,1,6,23,11,8.83,0,pink
355,1,127,44,12,8.83,2,dark purple
356,1,247,19,14,8.83,1,purple
357,1,80,25,6,8.83,0,pink
358,1,45,28,2,8.83,0,pink
359,1,29,20,14,5.62,0,pink
360,1,49,392,8,5.62,0,pink
361,1,53,78,14,5.62,0,pink
362,1,210,90,15,5.62,2,dark purple
363,2,78,19,12,5.62,0,pink
364,1,2,17,14,5.62,0,pink
365,1,94,19,1,5.62,2,dark purple
366,2,30,26,12,5.62,0,pink
367,1,31,41,13,5.62,0,pink
368,1,41,24,20,5.62,0,pink
369,1,8,23,2,8.58,0,pink
370,1,331,18,8,5.52,1,purple
371,1,96,20,10,8.83,2,dark purple
372,1,84,35,14,8.83,0,pink
373,1,18,34,11,8.83,0,pink
374,1,47,20,13,8.83,0,pink
375,2,19,431,12,8.83,0,pink
376,1,71,21,8,8.83,0,pink
377,1,111,89,10,8.83,2,dark purple
378,1,225,30,6,8.83,1,purple
379,1,89,23,0,8.83,2,dark purple
380,1,32,68,7,8.83,0,pink
381,1,221,18,12,8.83,1,purple
382,1,124,23,16,8.83,2,dark purple
383,1,34,40,13,8.83,0,pink
384,1,11,44,5,8.83,0,pink
385,1,54,34,5,8.83,0,pink
386,1,9,24,22,8.83,0,pink
387,1,25,77,15,8.83,0,pink
388,1,47,21,6,8.83,0,pink
389,1,117,23,1,8.83,2,dark purple
390,2,201,17,22,8.83,2,dark purple
391,2,235,17,9,8.83,1,purple
392,1,26,34,11,5.62,0,pink
393,1,2,53,1,5.62,0,pink
394,1,40,74,4,5.62,0,pink
395,1,22,71,12,5.62,0,pink
396,1,65,22,2,5.62,0,pink
397,1,60,29,10,5.62,0,pink
398,1,383,17,6,5.62,1,purple
399,2,177,28,3,5.62,2,dark purple
400,1,63,36,6,5.62,0,pink
401,1,21,49,20,5.62,0,pink
402,1,65,22,2,5.62,0,pink
403,1,61,78,11,5.62,0,pink
404,1,351,29,2,5.62,1,purple
405,1,2,44,10,5.62,0,pink
406,1,23,66,4,5.62,0,pink
407,4,100,31,14,5.62,2,dark purple
408,1,31,20,16,5.62,0,pink
409,1,92,34,9,5.62,2,dark purple
410,2,55,41,14,5.62,0,pink
411,1,65,22,2,5.62,0,pink
412,1,71,78,16,5.62,0,pink
413,1,398,29,11,5.62,1,purple
414,1,84,34,14,5.62,0,pink
415,1,18,31,16,5.62,0,pink
416,3,207,35,13,5.62,2,dark purple
417,1,14,29,7,5.62,0,pink
418,2,15,19,12,5.62,0,pink
419,3,79,17,17,5.62,0,pink
420,1,47,19,14,5.62,0,pink
421,1,37,54,16,5.62,0,pink
422,3,85,26,3,5.62,2,dark purple
423,4,269,17,6,5.62,1,purple
424,1,78,38,15,5.62,0,pink
425,1,87,40,6,5.62,2,dark purple
426,1,66,21,10,5.62,0,pink
427,1,50,24,4,5.62,0,pink
428,1,41,35,13,5.62,0,pink
429,1,156,32,1,5.62,2,dark purple
430,1,28,39,16,5.62,0,pink
431,2,130,24,11,8.58,2,dark purple
432,2,161,18,14,8.58,2,dark purple
433,1,38,24,2,8.58,0,pink
434,1,48,39,5,8.58,0,pink
