,num_passengers,sales_channel,length_of_stay,trip_type,booking_origin,purchase_to_travel,flight_day,flight_duration,flight_hour
0,1,Internet,2,RoundTrip,Afghanistan,191,Thu,4.75,16
1,1,Internet,6,RoundTrip,Algeria,27,Thu,6.62,2
2,1,Mobile,29,RoundTrip,Argentina,55,Mon,5.52,16
3,1,Internet,18,RoundTrip,Argentina,30,Thu,8.58,18
4,1,Internet,42,RoundTrip,Argentina,30,Thu,8.58,20
5,2,Internet,17,RoundTrip,Argentina,233,Thu,5.62,23
6,2,Internet,53,RoundTrip,Argentina,82,Tue,8.58,20
7,2,Internet,5,RoundTrip,Argentina,52,Wed,8.58,22
8,1,Internet,12,RoundTrip,Australia,21,Tue,7.21,6
9,1,Internet,23,RoundTrip,Australia,107,Sun,8.83,12
10,1,Internet,63,RoundTrip,Australia,300,Fri,8.83,2
11,1,Mobile,32,RoundTrip,Australia,11,Fri,8.83,12
12,2,Internet,17,RoundTrip,Australia,43,Tue,8.83,12
13,1,Internet,21,RoundTrip,Australia,55,Mon,8.83,21
14,1,Internet,43,RoundTrip,Australia,198,Sun,8.83,10
15,1,Internet,23,RoundTrip,Australia,170,Tue,8.83,22
16,2,Internet,32,RoundTrip,Australia,321,Mon,8.83,7
17,1,Mobile,22,RoundTrip,Australia,77,Mon,8.83,21
18,1,Internet,51,RoundTrip,Australia,45,Mon,8.83,9
19,1,Internet,28,RoundTrip,Australia,101,Wed,8.83,0
20,1,Internet,29,RoundTrip,Australia,26,Sun,8.83,9
21,1,Internet,19,RoundTrip,Australia,10,Sat,8.83,14
22,3,Internet,31,RoundTrip,Australia,126,Thu,8.83,22
23,2,Internet,27,RoundTrip,Australia,205,Tue,8.83,11
24,1,Internet,17,RoundTrip,Australia,42,Thu,8.83,13
25,1,Internet,22,RoundTrip,Australia,16,Fri,8.83,1
26,2,Internet,20,RoundTrip,Australia,12,Sat,8.83,1
27,1,Internet,37,RoundTrip,Australia,72,Wed,8.58,17
28,2,Internet,17,RoundTrip,Australia,118,Mon,8.58,13
29,1,Internet,19,RoundTrip,Australia,16,Mon,8.58,10
31,1,Internet,46,RoundTrip,Australia,135,Mon,8.58,8
32,1,Internet,47,RoundTrip,Australia,22,Sat,8.58,2
33,1,Internet,35,RoundTrip,Australia,152,Tue,8.58,9
34,1,Internet,23,RoundTrip,Australia,31,Tue,8.58,0
35,2,Internet,44,RoundTrip,Australia,150,Tue,8.58,6
